",""ID_ADNe"",""Site"",""ID_reception"",""Latitude"",""Longitude"",""Depth_CTD"",""Tide"",""Depth_m"",""Temperature"",""Salinity"",""Date"",""Project"",""Locus"""
"106,""ADE_21_00424"",""Godbout"",""2M4-c"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"107,""ADE_21_00424"",""Godbout"",""2M4-c"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"108,""ADE_21_00424"",""Godbout"",""2M4-c"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"109,""ADE_21_00425"",""Godbout"",""11M1-b"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"110,""ADE_21_00425"",""Godbout"",""11M1-b"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"111,""ADE_21_00425"",""Godbout"",""11M1-b"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"112,""ADE_21_00425"",""Godbout"",""11M1-b"",""49.300475986674428"",""-67.699186960235238"",""11.5"",""2.1"",9.4,""12.1"",""26.98"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"113,""ADE_21_00426"",""Godbout"",""11M3-a"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"114,""ADE_21_00426"",""Godbout"",""11M3-a"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"115,""ADE_21_00426"",""Godbout"",""11M3-a"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"116,""ADE_21_00426"",""Godbout"",""11M3-a"",""49.300324022769928"",""-67.69873701967299"",""12.26"",""2.6"",9.66,""12.77"",""27.19"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"117,""ADE_21_00427"",""Godbout"",""2M2-b"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"118,""ADE_21_00427"",""Godbout"",""2M2-b"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"119,""ADE_21_00427"",""Godbout"",""2M2-b"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"120,""ADE_21_00427"",""Godbout"",""2M2-b"",""49.302706997841597"",""-67.698806002736092"",""3.92"",""2.9"",1.02,""13.15"",""27.06"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"121,""ADE_21_00428"",""Godbout"",""2M4-b"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
"122,""ADE_21_00428"",""Godbout"",""2M4-b"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""MiFishU"""
"123,""ADE_21_00428"",""Godbout"",""2M4-b"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""16Schord"""
"124,""ADE_21_00428"",""Godbout"",""2M4-b"",""49.302442967891693"",""-67.698320019990206"",""6.26"",""2.9"",3.36,""9.61"",""28.3"",2021-08-24,""PPO.Godbout.2021"",""COI"""
"125,""ADE_21_00429"",""Godbout"",""6M3-a"",""49.302127975970507"",""-67.698299987241626"",""7.67"",""1.9"",5.77,""10.85"",""27.84"",2021-08-24,""PPO.Godbout.2021"",""12S248"""
