"","Gadus","Ammodytidae","Myoxocephalus","Ammodytes americanus","Gasterosteus aculeatus","Ammodytes dubius","Gymnocanthus tricuspis","Microgadus tomcod","Pleuronectidae","Sebastes fasciatus","Mallotus villosus","Clupea harengus","Hemitripterus americanus","Bos","Artediellus uncinatus","Stichaeus punctatus","Pholis gunnellus","Urophycis tenuis","Liparis miostomus","Scomber scombrus","Anarhichas","Catostomus commersonii","Halichoerus grypus","Homo sapiens","Phocoena phocoena","Gadus macrocephalus","Limanda","Stichaeidae","Canis lupus","Acipenser oxyrinchus","Anisarchus","Megaptera novaeangliae","Cyclopterus lumpus","Enchelyopus cimbrius","Eumicrotremus spinosus","Chrosomus neogaeus","Lagenorhynchus acutus","Phoca vitulina","Phasianidae","Balaenoptera musculus","NA","Sus scrofa","Triglops murrayi","Hippoglossus","Gadus morhua","Liparis","Trachinotus blochii","Askoldia variegata","Opisthocentrus ocellatus","Balaenoptera physalus","Pseudopleuronectes","Zoarces americanus","Lycodes","Myoxocephalus aenaeas","Thunnus thynnus","Gymnelus hemifasciatus","Hippoglossoides robustus","Balaenoptera acutorostrata","Melanostigma atlanticum","Asterias rubens","Ammodytes hexapterus","Artediellus","Phalacrocorax auritus","Odocoileus virginianus","Pseudoalteromonas prydzensis"
"BDA20_075",80882,0,0,0,0,0,65159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_076",0,0,0,0,0,0,711372,0,139,0,0,0,60,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_077",4790,0,826568,0,0,0,0,121,123,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_082",0,301,10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_084",0,0,0,0,0,0,113578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,60001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263001,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BDA20_088",0,0,0,0,0,0,4463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
